date,value
2018-01-03,10946500
2018-01-15,11025700
2018-01-27,10750800
2018-02-08,10470600
2018-02-20,9770300
2018-03-04,9315000
2018-03-16,8752200
2018-03-28,7898100
2018-04-09,6521400
2018-04-21,6527700
2018-05-03,5869000
2018-05-15,4740100
2018-05-27,5328700
2018-06-08,5159700
2018-06-20,5037000
2018-07-02,13215200
2018-07-14,13925300
2018-07-26,19177700
2018-08-19,13057100
2018-08-31,13517000
2018-09-12,12661500
2018-09-24,12204100
2018-10-06,12097800
2018-10-18,10031700
2018-10-30,11571600
2018-11-11,11280200
2018-11-23,11215700
2018-12-05,11180500
2018-12-17,11339900
2018-12-29,11322000
2019-01-10,11314200
2019-01-22,11285000
2019-02-03,11272800
2019-02-15,11675100
2019-02-27,11123600
2019-03-11,10981700
2019-03-23,10304200
2019-04-04,9481500
2019-04-16,8862600
2019-04-28,7297500
2019-05-22,6648100
2019-08-14,16474000
2019-08-26,15481800
2019-09-07,13252300
2019-09-19,12777300
2019-10-01,12418300
2019-10-13,12195700
2019-10-25,11732400
2019-11-06,11370300
2019-11-18,11280900
2019-11-30,11345300
2019-12-12,11385900
2019-12-24,11292400
2020-01-05,11475900
2020-01-17,11631200
2020-01-29,11202300
2020-02-10,11460700
2020-02-22,11596600
2020-03-05,11218800
2020-03-17,10980000
2020-03-29,9915900
2020-04-10,9821900
2020-04-22,9488900
2020-05-04,9256400
2020-05-16,8538000
2020-05-28,5838900
2020-06-09,9975000
2020-07-03,12067600
2020-07-15,15863500
2020-08-08,15538000
2020-08-20,14124100
2020-09-01,12870900
2020-09-13,12814100
2020-09-25,12706200
2020-10-07,12342200
2020-10-19,12435000
2020-10-31,11736900
2020-11-12,11625800
2020-11-24,11634600
2020-12-06,11471700
2020-12-18,11499700
2020-12-30,11662700
