date,value
2018-01-03,10011900
2018-01-15,11375100
2018-01-27,9368600
2018-02-08,10404400
2018-02-20,10058600
2018-03-04,9005800
2018-03-16,9796600
2018-03-28,8893600
2018-04-09,4023000
2018-04-21,8085200
2018-05-03,6955900
2018-05-15,4594500
2018-05-27,6800000
2018-06-08,6151100
2018-06-20,6581900
2018-07-02,9294900
2018-07-14,8365500
2018-07-26,16865300
2018-08-19,17903400
2018-08-31,18304800
2018-09-12,17858900
2018-09-24,17701700
2018-10-06,17047800
2018-10-18,17299600
2018-10-30,17025400
2018-11-11,16264500
2018-11-23,15752000
2018-12-05,14751200
2018-12-17,14833300
2018-12-29,13893100
2019-01-10,13234500
2019-01-22,12768600
2019-02-03,12331600
2019-02-15,11213000
2019-02-27,11387300
2019-03-11,10029400
2019-03-23,10957600
2019-04-04,10134300
2019-04-16,10599700
2019-04-28,4890700
2019-05-22,9650400
2019-08-14,15316900
2019-08-26,16108300
2019-09-07,15829300
2019-09-19,15834500
2019-10-01,16272300
2019-10-13,16009900
2019-10-25,15999900
2019-11-06,15721600
2019-11-18,15302600
2019-11-30,12944900
2019-12-12,14995400
2019-12-24,14471300
2020-01-05,12929600
2020-01-17,12327500
2020-01-29,10298800
2020-02-10,11926300
2020-02-22,12055600
2020-03-05,11521000
2020-03-17,11226900
2020-03-29,8751800
2020-04-10,9994600
2020-04-22,7971600
2020-05-04,8139700
2020-05-16,8471400
2020-05-28,7148000
2020-06-09,6146900
2020-07-03,7946700
2020-07-15,10544100
2020-08-08,18017800
2020-08-20,16853700
2020-09-01,16643800
2020-09-13,17708100
2020-09-25,16614700
2020-10-07,15990600
2020-10-19,16040800
2020-10-31,15858900
2020-11-12,15459200
2020-11-24,15403100
2020-12-06,14961400
2020-12-18,14319700
2020-12-30,13695000
