date,value
2018-01-12,9907300
2018-02-05,9650200
2018-02-17,9349800
2018-03-13,8312600
2018-03-25,7642500
2018-04-06,7007600
2018-04-30,5432400
2018-05-24,5300400
2018-06-05,5310500
2018-06-17,5517500
2018-06-29,5475800
2018-07-11,6659400
2018-08-28,17306800
2018-09-09,16626200
2018-09-21,16734800
2018-10-03,16067700
2018-10-27,15121300
2018-11-20,14358600
2018-12-02,14197600
2018-12-14,14083900
2018-12-20,14129000
2019-01-19,13437800
2019-02-12,12719200
2019-04-01,9641900
2019-04-13,8757300
2019-04-25,7871900
2019-05-07,7062100
2019-06-12,6063900
2019-07-30,6627000
2019-08-11,13413900
2019-09-16,13904400
2019-09-28,14032000
2019-10-04,13691600
2019-10-16,13197300
2019-10-22,13735000
2019-10-28,13471000
2019-11-09,14523600
2019-11-15,14118400
2019-11-21,13772400
2019-12-03,13813100
2019-12-15,13530200
2019-12-21,13384500
2019-12-27,13305800
2020-01-02,13249900
2020-01-14,13330200
2020-01-26,12828800
2020-02-07,13058200
2020-02-19,12859600
2020-03-02,13265800
2020-03-14,12946300
2020-03-26,12412600
2020-04-07,11650200
2020-04-19,11660600
2020-05-01,9999800
2020-05-13,9037900
2020-05-25,9213100
2020-06-06,9439200
2020-06-18,10587300
2020-06-30,10176700
2020-07-12,10866300
2020-07-24,12446800
2020-08-05,12248500
2020-08-17,20222400
2020-08-29,20453000
2020-09-10,20320100
2020-09-22,20487300
2020-10-04,20304600
2020-10-16,20401000
2020-10-28,20358600
2020-11-09,20317800
2020-11-21,20158100
2020-12-03,20086500
2020-12-15,19817400
