date,value
2018-01-05,34279966.235084146
2018-01-17,34108676.579791784
2018-01-29,34237349.160851516
2018-02-10,33978916.25411964
2018-02-22,33921771.00864335
2018-03-06,33752399.86046158
2018-03-18,33523203.349912826
2018-03-30,33079875.00407192
2018-04-11,32869423.598993417
2018-04-23,32294387.463921156
2018-05-05,32279330.39202394
2018-05-17,31246586.075200327
2018-05-29,30670646.95254517
2018-06-10,30592422.842467863
2018-06-22,31439685.653385792
2018-07-04,31151218.941700935
2018-07-16,31845293.69946039
2018-07-28,31713994.452797376
2018-08-09,31511353.782220438
2018-08-21,31316505.31018091
2018-09-02,31749152.769540284
2018-09-14,31621866.714931805
2018-09-26,31578223.00963483
2018-10-08,30752001.54033066
2018-10-20,30441122.500507582
2018-11-01,29512632.82837112
2018-12-07,28203621.326821387
2019-01-12,27298614.588682014
2019-01-24,26914574.59074946
2019-02-05,26699572.69324679
2019-02-11,26527546.305492863
2019-02-23,25965114.59228919
2019-03-07,25037256.186969355
2019-03-19,24265320.40036002
2019-03-31,23181867.93399892
2019-04-12,21625320.347564414
2019-04-24,20798242.462288857
2019-05-06,19511266.281992882
2019-05-18,18867874.7149911
2019-05-30,14984727.842426408
2019-06-11,17077041.977991052
2019-06-23,16467174.817720378
2019-07-05,16056506.076461095
2019-07-17,15494344.873391949
2019-07-29,15417021.577703893
2019-08-10,14480189.347339513
2019-08-22,14070135.32656503
2019-09-03,13561538.616082693
2019-09-15,12510602.491888655
2019-09-27,12409409.611021088
2019-10-09,11704229.129486924
2019-10-21,11606585.427266758
2019-10-27,11246675.679187883
2019-11-02,10984760.282304885
2019-11-08,10669195.755604586
2019-11-14,9948304.846516225
2019-11-20,9572736.82628913
2019-11-26,9012657.691186205
2019-12-02,8585155.715700962
2019-12-08,8194565.31263762
2019-12-14,7982003.877300503
2019-12-20,7364074.617888185
2019-12-26,6911957.119507108
2020-01-01,6680969.066366577
2020-01-07,6302103.197490936
2020-01-13,5839934.623473592
2020-01-19,5444021.154441893
2020-01-31,4561551.492740463
2020-02-12,3887856.1899466584
2020-02-24,3054057.467161404
2020-03-07,2635543.985519079
2020-03-19,2305091.9153999006
2020-03-31,1479853.8704302746
2020-04-12,1136888.0507635842
2020-04-24,451123.05529644043
2020-05-18,331574.9431413757
2020-05-30,559553.2971574048
2020-06-11,287739.91403094627
2020-06-23,177103.57757804036
2020-07-05,193199.10742362682
2020-07-17,168180.17790864114
2020-07-29,161483.86003061393
2020-08-10,164283.1952935043
2020-08-22,2068865.72427567
2020-09-03,1993198.7729317162
2020-09-15,1963022.7016429827
2020-09-27,22148511.49887785
2020-10-09,24030873.875277232
2020-10-21,40689437.20613743
2020-11-02,41399214.4460067
2020-11-14,41586014.08209755
2020-11-26,41299860.932886735
2020-11-28,41573148.439711
2020-12-08,41151173.772031695
2020-12-20,40896006.98767047
