date,value
2018-01-05,13525000
2018-01-12,13525000
2018-01-17,13465100
2018-01-24,13465100
2018-01-29,13510100
2018-02-05,13510100
2018-02-10,13419700
2018-02-17,13419700
2018-02-22,13399700
2018-03-01,13399700
2018-03-06,13340400
2018-03-13,13340400
2018-03-18,13260100
2018-03-25,13260100
2018-03-30,13104600
2018-04-06,13104600
2018-04-11,13030700
2018-04-18,13030700
2018-04-23,12828500
2018-04-30,12828500
2018-05-05,12823200
2018-05-12,12823200
2018-05-17,12459000
2018-05-24,12459000
2018-05-29,12255300
2018-06-05,12255300
2018-06-10,12227600
2018-06-17,12227600
2018-06-22,12527200
2018-06-29,12527200
2018-07-04,12425300
2018-07-11,12425300
2018-07-16,12670300
2018-07-23,12670300
2018-07-28,12624000
2018-08-04,12624000
2018-08-09,12552500
2018-08-16,12552500
2018-08-21,12483700
2018-08-28,12483700
2018-09-02,12636400
2018-09-09,12636400
2018-09-14,12591500
2018-09-21,12591500
2018-09-26,12576100
2018-10-03,12576100
2018-10-08,12284100
2018-10-20,12174000
2018-10-27,12174000
2018-11-01,11844400
2018-11-08,11844400
2018-12-07,11377700
2018-12-14,11377700
2019-01-12,11053600
2019-01-19,11053600
2019-01-24,10915700
2019-01-31,10915700
2019-02-05,10838400
2019-02-11,11008900
2019-02-12,11008900
2019-02-23,10573800
2019-02-24,10573800
2019-03-07,10238300
2019-03-08,10238300
2019-03-19,9958100
2019-03-20,9958100
2019-03-31,9563100
2019-04-01,9563100
2019-04-12,8991900
2019-04-13,8991900
2019-04-24,8686500
2019-04-25,8686500
2019-05-06,8208500
2019-05-07,8208500
2019-05-18,7968200
2019-05-19,7968200
2019-05-30,6496600
2019-05-31,6496600
2019-06-11,7294300
2019-06-12,7294300
2019-06-17,7294300
2019-06-23,7063000
2019-06-24,7063000
2019-06-29,7063000
2019-07-05,6906700
2019-07-11,6906700
2019-07-17,6692000
2019-07-23,6692000
2019-07-29,6662400
2019-07-30,6662400
2019-08-04,6662400
2019-08-10,6302400
2019-08-11,6302400
2019-08-22,6144000
2019-08-23,6144000
2019-09-03,5946800
2019-09-04,5946800
2019-09-15,5536600
2019-09-16,5536600
2019-09-27,5496900
2019-09-28,5496900
2019-10-04,5496900
2019-10-09,5219200
2019-10-10,5219200
2019-10-16,5219200
2019-10-21,5180600
2019-10-22,5180600
2019-10-27,5202200
2019-10-28,5202200
2019-11-02,5081700
2019-11-03,5081700
2019-11-08,4988300
2019-11-09,4988300
2019-11-14,4820100
2019-11-15,4820100
2019-11-20,4550800
2019-11-21,4550800
2019-11-26,4380400
2019-11-27,4380400
2019-12-02,4156800
2019-12-03,4156800
2019-12-08,3993500
2019-12-09,3993500
2019-12-14,3848900
2019-12-15,3848900
2019-12-20,3727600
2019-12-21,3727600
2019-12-26,3481000
2019-12-27,3481000
2020-01-01,3175700
2020-01-02,3175700
2020-01-07,3218200
2020-01-13,3046900
2020-01-14,3046900
2020-01-19,2841700
2020-01-26,2648800
2020-01-31,2264600
2020-02-07,2264600
2020-02-12,1965600
2020-02-19,1965600
2020-02-24,1587100
2020-03-02,1587100
2020-03-07,1392800
2020-03-14,1392800
2020-03-19,1236900
2020-03-26,1236900
2020-03-31,835200
2020-04-07,835200
2020-04-12,661200
2020-04-19,661200
2020-04-24,291500
2020-05-01,291500
2020-05-18,221900
2020-05-25,221900
2020-05-30,352800
2020-06-06,352800
2020-06-11,195700
2020-06-18,195700
2020-06-23,127300
2020-06-30,127300
2020-07-05,137500
2020-07-12,137500
2020-07-17,121600
2020-07-24,121600
2020-07-29,117300
2020-08-05,117300
2020-08-10,119100
2020-08-17,119100
2020-08-22,1123900
2020-08-29,1123900
2020-09-03,1087400
2020-09-10,1087400
2020-09-15,1072800
2020-09-22,1072800
2020-09-27,9184400
2020-10-04,9184400
2020-10-09,9872800
2020-10-16,9872800
2020-10-21,15743400
2020-10-28,15743400
2020-11-02,15986500
2020-11-09,15986500
2020-11-14,16050400
2020-11-21,16050400
2020-11-26,15952500
2020-11-28,16491000
2020-12-03,16491000
2020-12-08,16499100
2020-12-15,15901600
2020-12-20,15814200
